event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T08:21:11.722,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_two_arm_ungroup_no_obs.xml"", ""bodies"": 33, ""geoms"": 175}"
2,2026-05-14T08:21:14.680,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T08:21:14.685,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
4,2026-05-14T08:21:14.687,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""right"", ""base_xy"": [-0.4, 0.45]}"
5,2026-05-14T08:21:14.688,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
6,2026-05-14T08:21:14.688,WARMUP,START,,home,,,,,,,,,,,
7,2026-05-14T08:21:15.167,WARMUP,OK,,home,,,,,,,,,,,
8,2026-05-14T08:21:15.167,WARMUP,START,,grasp_ready,,,,,,,,,,,
9,2026-05-14T08:21:15.819,WARMUP,OK,,grasp_ready,,,,,,,,,,,
10,2026-05-14T08:21:15.829,OBJECT_PRECHECK,SKIP,cube4,separate_groups_two_arm,,,,,,,,no_arm_passed_minimum_validator,,,
11,2026-05-14T08:21:15.829,OBJECT_PRECHECK,SKIP,circle2,separate_groups_two_arm,,,,,,,,no_arm_passed_minimum_validator,,,
12,2026-05-14T08:21:15.829,TASK_ROUND,START,,separate_groups_two_arm,,,,,,,,,,,"{""round"": 1, ""candidates"": [""cube1"", ""cube3"", ""cube2"", ""circle1"", ""circle3"", ""circle4""]}"
13,2026-05-14T08:21:15.829,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
14,2026-05-14T08:21:15.829,ARM_VALIDATION,OK,cube1,,,,,,,,,,,,"{""selected_arm"": ""left"", ""validations"": [{""arm"": ""left"", ""ok"": true, ""pick_distance"": 0.3801, ""place_distance"": 0.5592, ""pick_status"": ""OK"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}, {""arm"": ""right"", ""ok"": false, ""pick_distance"": 0.9862, ""place_distance"": 0.7332, ""pick_status"": ""HARD"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}], ""attempt"": 1}"
15,2026-05-14T08:21:15.830,PICK,START,cube1,,,,,,,,,,,,
16,2026-05-14T08:21:15.830,PICK_PROFILE,SELECT,cube1,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
17,2026-05-14T08:21:15.973,OBSTACLE_AVOID,CLEAR,cube1,,,,,,,,,,,,"{""approach_clearance"": 0.3}"
18,2026-05-14T08:21:15.973,MOVE_POSE,START,,pick(cube1) pregrasp,,,,,0.0400,"[-0.02, -0.46, 1.1294]",[],,,,
19,2026-05-14T08:21:16.121,IK_CANDIDATE,REJECT,,pick(cube1) pregrasp,,,,,,"[-0.02, -0.46, 1.1294]",,,,,"{""pos_err"": 0.0411, ""ori_err"": 0.02475, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.055}"
20,2026-05-14T08:21:16.123,IK_SOLVE,OK,,pick(cube1) pregrasp,,,,,,"[-0.02, -0.46, 1.1294]",,,,,"{""pos_err"": 0.0411, ""ori_err"": 0.02475, ""iterations"": 600}"
21,2026-05-14T08:21:16.123,OMPL_PLAN,START,,pick(cube1) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [-0.0201, -0.1932, -0.006, -2.6422, -0.0022, 2.4245, -0.7711]}"
22,2026-05-14T08:21:16.858,OMPL_PLAN,OK,,pick(cube1) pregrasp,,BITstar,83,734,,,,,,,"{""path_length"": 0.9808, ""selected_goal_q"": [-0.02012056426578164, -0.19319613687066262, -0.006000248505421153, -2.6421650192074413, -0.002228309200070105, 2.4245252324429245, -0.7711380844112651]}"
23,2026-05-14T08:21:16.859,TRAJECTORY_EXEC,START,,,,,83,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
24,2026-05-14T08:21:16.859,TRAJECTORY_WAYPOINT,EXEC,,,,,1/83,,0.0400,,,,,,"{""q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]}"
25,2026-05-14T08:21:17.520,TRAJECTORY_WAYPOINT,EXEC,,,,,21/83,,0.0400,,,,,,"{""q"": [-0.0049, 0.3472, -0.0016, -2.1359, -0.0006, 2.4565, -0.756]}"
26,2026-05-14T08:21:18.199,TRAJECTORY_WAYPOINT,EXEC,,,,,41/83,,0.0400,,,,,,"{""q"": [-0.0098, 0.1729, -0.003, -2.2992, -0.0012, 2.4462, -0.7609]}"
27,2026-05-14T08:21:18.891,TRAJECTORY_WAYPOINT,EXEC,,,,,61/83,,0.0400,,,,,,"{""q"": [-0.0147, -0.0014, -0.0044, -2.4625, -0.0017, 2.4359, -0.7657]}"
28,2026-05-14T08:21:19.543,TRAJECTORY_WAYPOINT,EXEC,,,,,81/83,,0.0400,,,,,,"{""q"": [-0.0196, -0.1758, -0.0059, -2.6258, -0.0022, 2.4256, -0.7706]}"
29,2026-05-14T08:21:19.610,TRAJECTORY_WAYPOINT,EXEC,,,,,83/83,,0.0400,,,,,,"{""q"": [-0.0201, -0.1932, -0.006, -2.6422, -0.0022, 2.4245, -0.7711]}"
30,2026-05-14T08:21:19.735,TRAJECTORY_EXEC,OK,,,,,83,2876,,,,,,,
31,2026-05-14T08:21:19.736,MOVE_POSE,OK,,pick(cube1) pregrasp,,,,,,,,,,,
32,2026-05-14T08:21:19.736,MOVE_POSE,START,,pick(cube1) grasp,,,,,0.0400,"[-0.02, -0.46, 0.9294]","[""cube1""]",,,,
33,2026-05-14T08:21:19.870,IK_CANDIDATE,OK,,pick(cube1) grasp,,,,,,"[-0.02, -0.46, 0.9294]",,,,,"{""pos_err"": 0.01079, ""ori_err"": 0.01663, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
34,2026-05-14T08:21:19.872,IK_SOLVE,OK,,pick(cube1) grasp,,,,,,"[-0.02, -0.46, 0.9294]",,,,,"{""pos_err"": 0.01079, ""ori_err"": 0.01663, ""iterations"": 600}"
35,2026-05-14T08:21:19.872,OMPL_PLAN,START,,pick(cube1) grasp,,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 5.0, ""start_q"": [-0.0201, -0.1884, -0.006, -2.6463, -0.0024, 2.4238, -0.7711], ""goal_q"": [-0.0234, 0.2853, -0.0022, -2.7182, 0.0003, 2.9869, -0.771]}"
36,2026-05-14T08:21:20.617,OMPL_PLAN,OK,,pick(cube1) grasp,,BITstar,63,744,,,,,,,"{""path_length"": 0.7393, ""selected_goal_q"": [-0.02341178370924952, 0.28525608659590773, -0.0022350548178126047, -2.718168873003365, 0.000286356602073729, 2.9868593250468005, -0.7709826884366799]}"
37,2026-05-14T08:21:20.617,TRAJECTORY_EXEC,START,,,,,63,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
38,2026-05-14T08:21:20.617,TRAJECTORY_WAYPOINT,EXEC,,,,,1/63,,0.0400,,,,,,"{""q"": [-0.0201, -0.1884, -0.006, -2.6463, -0.0024, 2.4238, -0.7711]}"
39,2026-05-14T08:21:21.122,TRAJECTORY_WAYPOINT,EXEC,,,,,16/63,,0.0400,,,,,,"{""q"": [-0.0209, -0.0738, -0.0051, -2.6637, -0.0017, 2.56, -0.7711]}"
40,2026-05-14T08:21:21.643,TRAJECTORY_WAYPOINT,EXEC,,,,,31/63,,0.0400,,,,,,"{""q"": [-0.0217, 0.0408, -0.0042, -2.6811, -0.0011, 2.6962, -0.771]}"
41,2026-05-14T08:21:22.139,TRAJECTORY_WAYPOINT,EXEC,,,,,46/63,,0.0400,,,,,,"{""q"": [-0.0225, 0.1554, -0.0033, -2.6985, -0.0004, 2.8325, -0.771]}"
42,2026-05-14T08:21:22.651,TRAJECTORY_WAYPOINT,EXEC,,,,,61/63,,0.0400,,,,,,"{""q"": [-0.0233, 0.27, -0.0024, -2.7159, 0.0002, 2.9687, -0.771]}"
43,2026-05-14T08:21:22.719,TRAJECTORY_WAYPOINT,EXEC,,,,,63/63,,0.0400,,,,,,"{""q"": [-0.0234, 0.2853, -0.0022, -2.7182, 0.0003, 2.9869, -0.771]}"
44,2026-05-14T08:21:22.845,TRAJECTORY_EXEC,OK,,,,,63,2227,,,,,,,
45,2026-05-14T08:21:22.845,MOVE_POSE,OK,,pick(cube1) grasp,,,,,,,,,,,
46,2026-05-14T08:21:22.845,PICK,GRIP_CLOSE,cube1,close_gripper,,,,,,,,,,,
47,2026-05-14T08:21:22.845,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
48,2026-05-14T08:21:22.929,MOVE_POSE,START,,pick(cube1) lift,,,,,0.0150,"[-0.02, -0.46, 1.1294]","[""cube1""]",,,,
49,2026-05-14T08:21:23.055,IK_CANDIDATE,OK,,pick(cube1) lift,,,,,,"[-0.02, -0.46, 1.1294]",,,,,"{""pos_err"": 0.01888, ""ori_err"": 0.00206, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
50,2026-05-14T08:21:23.055,IK_SOLVE,OK,,pick(cube1) lift,,,,,,"[-0.02, -0.46, 1.1294]",,,,,"{""pos_err"": 0.01888, ""ori_err"": 0.00206, ""iterations"": 600}"
51,2026-05-14T08:21:23.064,OMPL_PLAN,START,,pick(cube1) lift,,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 5.0, ""start_q"": [-0.0234, 0.2906, -0.0023, -2.7208, 0.0003, 2.9861, -0.771], ""goal_q"": [-0.0241, -0.28, -0.002, -2.7042, -0.0011, 2.4263, -0.7692]}"
52,2026-05-14T08:21:23.796,OMPL_PLAN,OK,,pick(cube1) lift,,BITstar,68,731,,,,,,,"{""path_length"": 0.7995, ""selected_goal_q"": [-0.02412786653892831, -0.27997087447319186, -0.0020398708593252026, -2.7042276832644965, -0.001134134057699648, 2.426288532217116, -0.7692096818311722]}"
53,2026-05-14T08:21:23.796,TRAJECTORY_EXEC,START,,,,,68,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
54,2026-05-14T08:21:23.796,TRAJECTORY_WAYPOINT,EXEC,,,,,1/68,,0.0150,,,,,,"{""q"": [-0.0234, 0.2906, -0.0023, -2.7208, 0.0003, 2.9861, -0.771]}"
55,2026-05-14T08:21:24.399,TRAJECTORY_WAYPOINT,EXEC,,,,,18/68,,0.0150,,,,,,"{""q"": [-0.0236, 0.1458, -0.0022, -2.7166, -0.0001, 2.844, -0.7705]}"
56,2026-05-14T08:21:24.988,TRAJECTORY_WAYPOINT,EXEC,,,,,35/68,,0.0150,,,,,,"{""q"": [-0.0238, 0.001, -0.0022, -2.7124, -0.0004, 2.702, -0.7701]}"
57,2026-05-14T08:21:25.601,TRAJECTORY_WAYPOINT,EXEC,,,,,52/68,,0.0150,,,,,,"{""q"": [-0.024, -0.1437, -0.0021, -2.7082, -0.0008, 2.56, -0.7696]}"
58,2026-05-14T08:21:26.178,TRAJECTORY_WAYPOINT,EXEC,,,,,68/68,,0.0150,,,,,,"{""q"": [-0.0241, -0.28, -0.002, -2.7042, -0.0011, 2.4263, -0.7692]}"
59,2026-05-14T08:21:26.341,TRAJECTORY_EXEC,OK,,,,,68,2544,,,,,,,
60,2026-05-14T08:21:26.341,MOVE_POSE,OK,,pick(cube1) lift,,,,,,,,,,,
61,2026-05-14T08:21:26.342,PICK,OK,cube1,,,,,,,,,,,,
62,2026-05-14T08:21:26.342,PLACE,START,cube1,,,,,,,"[0.055, -0.125, 0.83]",,,,,
63,2026-05-14T08:21:26.342,MOVE_POSE,START,,"place(0.055, -0.125) preplace",,,,,0.0150,"[0.055, -0.125, 1.13]","[""cube1""]",,,,
64,2026-05-14T08:21:26.468,IK_CANDIDATE,OK,,"place(0.055, -0.125) preplace",,,,,,"[0.055, -0.125, 1.13]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.01127, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
65,2026-05-14T08:21:26.469,IK_SOLVE,OK,,"place(0.055, -0.125) preplace",,,,,,"[0.055, -0.125, 1.13]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.01127, ""iterations"": 546}"
66,2026-05-14T08:21:26.469,OMPL_PLAN,START,,"place(0.055, -0.125) preplace",,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 5.0, ""start_q"": [-0.0241, -0.2758, -0.002, -2.7089, -0.0013, 2.426, -0.7692], ""goal_q"": [0.3827, 0.1449, 0.2344, -2.1769, -0.0326, 2.3233, -0.3521]}"
67,2026-05-14T08:21:27.208,OMPL_PLAN,OK,,"place(0.055, -0.125) preplace",,BITstar,79,738,,,,,,,"{""path_length"": 0.9311, ""selected_goal_q"": [0.38272010705431336, 0.14490943323705746, 0.23443851085521897, -2.176878365137689, -0.03263081788936831, 2.3232958316959524, -0.3520809733229255]}"
68,2026-05-14T08:21:27.208,TRAJECTORY_EXEC,START,,,,,79,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
69,2026-05-14T08:21:27.208,TRAJECTORY_WAYPOINT,EXEC,,,,,1/79,,0.0150,,,,,,"{""q"": [-0.0241, -0.2758, -0.002, -2.7089, -0.0013, 2.426, -0.7692]}"
70,2026-05-14T08:21:27.970,TRAJECTORY_WAYPOINT,EXEC,,,,,20/79,,0.0150,,,,,,"{""q"": [0.075, -0.1733, 0.0556, -2.5793, -0.0089, 2.401, -0.6676]}"
71,2026-05-14T08:21:28.658,TRAJECTORY_WAYPOINT,EXEC,,,,,39/79,,0.0150,,,,,,"{""q"": [0.1741, -0.0709, 0.1132, -2.4497, -0.0165, 2.376, -0.566]}"
72,2026-05-14T08:21:29.339,TRAJECTORY_WAYPOINT,EXEC,,,,,58/79,,0.0150,,,,,,"{""q"": [0.2732, 0.0316, 0.1708, -2.3201, -0.0242, 2.351, -0.4644]}"
73,2026-05-14T08:21:30.039,TRAJECTORY_WAYPOINT,EXEC,,,,,77/79,,0.0150,,,,,,"{""q"": [0.3723, 0.1341, 0.2284, -2.1905, -0.0318, 2.3259, -0.3628]}"
74,2026-05-14T08:21:30.115,TRAJECTORY_WAYPOINT,EXEC,,,,,79/79,,0.0150,,,,,,"{""q"": [0.3827, 0.1449, 0.2344, -2.1769, -0.0326, 2.3233, -0.3521]}"
75,2026-05-14T08:21:30.259,TRAJECTORY_EXEC,OK,,,,,79,3050,,,,,,,
76,2026-05-14T08:21:30.267,MOVE_POSE,OK,,"place(0.055, -0.125) preplace",,,,,,,,,,,
77,2026-05-14T08:21:30.267,MOVE_POSE,START,,"place(0.055, -0.125) release",,,,,0.0150,"[0.055, -0.125, 0.99]","[""cube1""]",,,,
78,2026-05-14T08:21:30.348,IK_CANDIDATE,OK,,"place(0.055, -0.125) release",,,,,,"[0.055, -0.125, 0.99]",,,,,"{""pos_err"": 0.00798, ""ori_err"": 0.01101, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
79,2026-05-14T08:21:30.349,IK_SOLVE,OK,,"place(0.055, -0.125) release",,,,,,"[0.055, -0.125, 0.99]",,,,,"{""pos_err"": 0.00798, ""ori_err"": 0.01101, ""iterations"": 328}"
80,2026-05-14T08:21:30.349,OMPL_PLAN,START,,"place(0.055, -0.125) release",,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 5.0, ""start_q"": [0.3827, 0.1508, 0.2346, -2.1827, -0.0328, 2.3226, -0.3527], ""goal_q"": [0.4681, 0.4144, 0.1431, -2.1819, -0.0956, 2.5818, -0.3337]}"
81,2026-05-14T08:21:31.084,OMPL_PLAN,OK,,"place(0.055, -0.125) release",,BITstar,34,733,,,,,,,"{""path_length"": 0.3957, ""selected_goal_q"": [0.46808929800569954, 0.4143774745057365, 0.14309309641391946, -2.1819284373781493, -0.09560542060605086, 2.581756044284527, -0.33366158601714224]}"
82,2026-05-14T08:21:31.084,TRAJECTORY_EXEC,START,,,,,34,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
83,2026-05-14T08:21:31.084,TRAJECTORY_WAYPOINT,EXEC,,,,,1/34,,0.0150,,,,,,"{""q"": [0.3827, 0.1508, 0.2346, -2.1827, -0.0328, 2.3226, -0.3527]}"
84,2026-05-14T08:21:31.379,TRAJECTORY_WAYPOINT,EXEC,,,,,9/34,,0.0150,,,,,,"{""q"": [0.4034, 0.2147, 0.2124, -2.1825, -0.048, 2.3854, -0.3481]}"
85,2026-05-14T08:21:31.655,TRAJECTORY_WAYPOINT,EXEC,,,,,17/34,,0.0150,,,,,,"{""q"": [0.4241, 0.2786, 0.1902, -2.1823, -0.0632, 2.4483, -0.3435]}"
86,2026-05-14T08:21:31.942,TRAJECTORY_WAYPOINT,EXEC,,,,,25/34,,0.0150,,,,,,"{""q"": [0.4448, 0.3425, 0.168, -2.1821, -0.0785, 2.5111, -0.3389]}"
87,2026-05-14T08:21:32.242,TRAJECTORY_WAYPOINT,EXEC,,,,,33/34,,0.0150,,,,,,"{""q"": [0.4655, 0.4064, 0.1459, -2.182, -0.0937, 2.5739, -0.3342]}"
88,2026-05-14T08:21:32.304,TRAJECTORY_WAYPOINT,EXEC,,,,,34/34,,0.0150,,,,,,"{""q"": [0.4681, 0.4144, 0.1431, -2.1819, -0.0956, 2.5818, -0.3337]}"
89,2026-05-14T08:21:32.463,TRAJECTORY_EXEC,OK,,,,,34,1379,,,,,,,
90,2026-05-14T08:21:32.464,MOVE_POSE,OK,,"place(0.055, -0.125) release",,,,,,,,,,,
91,2026-05-14T08:21:32.464,PLACE,SETTLE_BEFORE_OPEN,cube1,,,,,,,,,,,,"{""steps"": 120}"
92,2026-05-14T08:21:32.773,PLACE,GRIP_OPEN,cube1,,,,,,,,,,,,"{""finger_before"": 0.0294}"
93,2026-05-14T08:21:32.773,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 450}"
94,2026-05-14T08:21:33.811,PLACE,GRIP_OPENED,cube1,,,,,,,,,,,,"{""finger_after"": 0.04}"
95,2026-05-14T08:21:34.168,MOVE_POSE,START,,"place(0.055, -0.125) retreat",,,,,0.0400,"[0.055, -0.125, 1.19]","[""cube1""]",,,,
96,2026-05-14T08:21:34.264,IK_CANDIDATE,OK,,"place(0.055, -0.125) retreat",,,,,,"[0.055, -0.125, 1.19]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.00928, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
97,2026-05-14T08:21:34.265,IK_SOLVE,OK,,"place(0.055, -0.125) retreat",,,,,,"[0.055, -0.125, 1.19]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.00928, ""iterations"": 455}"
98,2026-05-14T08:21:34.265,OMPL_PLAN,START,,"place(0.055, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 5.0, ""start_q"": [0.4681, 0.4217, 0.1426, -2.1862, -0.0957, 2.581, -0.3337], ""goal_q"": [0.4967, 0.0901, 0.1237, -2.0894, -0.0112, 2.1878, -0.3964]}"
99,2026-05-14T08:21:34.995,OMPL_PLAN,OK,,"place(0.055, -0.125) retreat",,BITstar,46,729,,,,,,,"{""path_length"": 0.5349, ""selected_goal_q"": [0.4967325895632587, 0.09010174042579878, 0.12366075795923472, -2.0893981005929247, -0.011165233301121102, 2.187846245114632, -0.39635913494790315]}"
100,2026-05-14T08:21:34.995,TRAJECTORY_EXEC,START,,,,,46,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
101,2026-05-14T08:21:35.012,TRAJECTORY_WAYPOINT,EXEC,,,,,1/46,,0.0400,,,,,,"{""q"": [0.4681, 0.4217, 0.1426, -2.1862, -0.0957, 2.581, -0.3337]}"
102,2026-05-14T08:21:35.390,TRAJECTORY_WAYPOINT,EXEC,,,,,12/46,,0.0400,,,,,,"{""q"": [0.4751, 0.3407, 0.1379, -2.1625, -0.075, 2.4849, -0.349]}"
103,2026-05-14T08:21:35.755,TRAJECTORY_WAYPOINT,EXEC,,,,,23/46,,0.0400,,,,,,"{""q"": [0.4821, 0.2596, 0.1333, -2.1389, -0.0544, 2.3888, -0.3643]}"
104,2026-05-14T08:21:36.102,TRAJECTORY_WAYPOINT,EXEC,,,,,34/46,,0.0400,,,,,,"{""q"": [0.4891, 0.1785, 0.1287, -2.1152, -0.0337, 2.2927, -0.3796]}"
105,2026-05-14T08:21:36.457,TRAJECTORY_WAYPOINT,EXEC,,,,,45/46,,0.0400,,,,,,"{""q"": [0.4961, 0.0975, 0.1241, -2.0915, -0.013, 2.1966, -0.395]}"
106,2026-05-14T08:21:36.493,TRAJECTORY_WAYPOINT,EXEC,,,,,46/46,,0.0400,,,,,,"{""q"": [0.4967, 0.0901, 0.1237, -2.0894, -0.0112, 2.1878, -0.3964]}"
107,2026-05-14T08:21:36.620,TRAJECTORY_EXEC,OK,,,,,46,1608,,,,,,,
108,2026-05-14T08:21:36.620,MOVE_POSE,OK,,"place(0.055, -0.125) retreat",,,,,,,,,,,
109,2026-05-14T08:21:36.620,TRANSIT,START,,"after place(0.055, -0.125)",,,,,,,,,,,"{""target"": ""GRASP_READY""}"
110,2026-05-14T08:21:36.621,OMPL_PLAN,START,,"transit after place(0.055, -0.125)",,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [0.4967, 0.0965, 0.1237, -2.0944, -0.0114, 2.1877, -0.3962], ""goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
111,2026-05-14T08:21:37.341,OMPL_PLAN,OK,,"transit after place(0.055, -0.125)",,BITstar,70,720,,,,,,,"{""path_length"": 0.8258, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
112,2026-05-14T08:21:37.342,TRAJECTORY_EXEC,START,,,,,70,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
113,2026-05-14T08:21:37.342,TRAJECTORY_WAYPOINT,EXEC,,,,,1/70,,0.0400,,,,,,"{""q"": [0.4967, 0.0965, 0.1237, -2.0944, -0.0114, 2.1877, -0.3962]}"
114,2026-05-14T08:21:37.913,TRAJECTORY_WAYPOINT,EXEC,,,,,18/70,,0.0400,,,,,,"{""q"": [0.3743, 0.203, 0.0932, -2.0662, -0.0086, 2.2634, -0.4834]}"
115,2026-05-14T08:21:38.490,TRAJECTORY_WAYPOINT,EXEC,,,,,35/70,,0.0400,,,,,,"{""q"": [0.252, 0.3096, 0.0627, -2.038, -0.0058, 2.3391, -0.5705]}"
116,2026-05-14T08:21:39.060,TRAJECTORY_WAYPOINT,EXEC,,,,,52/70,,0.0400,,,,,,"{""q"": [0.1296, 0.4162, 0.0323, -2.0098, -0.003, 2.4148, -0.6577]}"
117,2026-05-14T08:21:39.607,TRAJECTORY_WAYPOINT,EXEC,,,,,69/70,,0.0400,,,,,,"{""q"": [0.0072, 0.5227, 0.0018, -1.9817, -0.0002, 2.4905, -0.7449]}"
118,2026-05-14T08:21:39.640,TRAJECTORY_WAYPOINT,EXEC,,,,,70/70,,0.0400,,,,,,"{""q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
119,2026-05-14T08:21:39.776,TRAJECTORY_EXEC,OK,,,,,70,2434,,,,,,,
120,2026-05-14T08:21:39.776,TRANSIT,OK,,"after place(0.055, -0.125)",,,,,,,,,,,"{""target"": ""GRASP_READY""}"
121,2026-05-14T08:21:39.776,PLACE,OK,cube1,,,,,,,"[0.055, -0.125, 0.83]",,,,,
122,2026-05-14T08:21:40.691,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""right"", ""base_xy"": [-0.4, 0.45]}"
123,2026-05-14T08:21:40.691,ARM_VALIDATION,OK,cube3,,,,,,,,,,,,"{""selected_arm"": ""right"", ""validations"": [{""arm"": ""left"", ""ok"": true, ""pick_distance"": 0.7976, ""place_distance"": 0.6518, ""pick_status"": ""BORDERLINE"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}, {""arm"": ""right"", ""ok"": true, ""pick_distance"": 0.4518, ""place_distance"": 0.8061, ""pick_status"": ""OK"", ""place_status"": ""BORDERLINE"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}], ""attempt"": 1}"
124,2026-05-14T08:21:40.691,PICK,START,cube3,,,,,,,,,,,,
125,2026-05-14T08:21:40.691,TRANSIT,START,,before pick(cube3),,,,,,,,,,,"{""target"": ""GRASP_READY""}"
126,2026-05-14T08:21:40.700,OMPL_PLAN,START,,transit before pick(cube3),,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [-0.0, 0.0059, -0.0, -1.5763, -0.0002, 1.57, -0.7854], ""goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
127,2026-05-14T08:21:41.438,OMPL_PLAN,OK,,transit before pick(cube3),,BITstar,96,737,,,,,,,"{""path_length"": 1.1373, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
128,2026-05-14T08:21:41.438,TRAJECTORY_EXEC,START,,,,,96,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
129,2026-05-14T08:21:41.438,TRAJECTORY_WAYPOINT,EXEC,,,,,1/96,,0.0400,,,,,,"{""q"": [-0.0, 0.0059, -0.0, -1.5763, -0.0002, 1.57, -0.7854]}"
130,2026-05-14T08:21:42.245,TRAJECTORY_WAYPOINT,EXEC,,,,,25/96,,0.0400,,,,,,"{""q"": [-0.0, 0.1381, -0.0, -1.6783, -0.0002, 1.8037, -0.7765]}"
131,2026-05-14T08:21:43.074,TRAJECTORY_WAYPOINT,EXEC,,,,,49/96,,0.0400,,,,,,"{""q"": [-0.0, 0.2702, -0.0, -1.7803, -0.0001, 2.0374, -0.7675]}"
132,2026-05-14T08:21:43.854,TRAJECTORY_WAYPOINT,EXEC,,,,,73/96,,0.0400,,,,,,"{""q"": [-0.0, 0.4024, -0.0, -1.8823, -0.0001, 2.2711, -0.7586]}"
133,2026-05-14T08:21:44.621,TRAJECTORY_WAYPOINT,EXEC,,,,,96/96,,0.0400,,,,,,"{""q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
134,2026-05-14T08:21:44.753,TRAJECTORY_EXEC,OK,,,,,96,3315,,,,,,,
135,2026-05-14T08:21:44.754,TRANSIT,OK,,before pick(cube3),,,,,,,,,,,"{""target"": ""GRASP_READY""}"
136,2026-05-14T08:21:44.754,PICK_PROFILE,SELECT,cube3,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
137,2026-05-14T08:21:44.902,OBSTACLE_AVOID,CLEAR,cube3,,,,,,,,,,,,"{""approach_clearance"": 0.3}"
138,2026-05-14T08:21:44.902,MOVE_POSE,START,,pick(cube3) pregrasp,,,,,0.0400,"[0.0, 0.24, 1.1294]",[],,,,
