event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T07:17:04.978,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_ungroup_obs.xml"", ""bodies"": 24, ""geoms"": 96}"
2,2026-05-14T07:17:10.207,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T07:17:10.219,WARMUP,START,,home,,,,,,,,,,,
4,2026-05-14T07:17:10.712,WARMUP,OK,,home,,,,,,,,,,,
5,2026-05-14T07:17:10.712,WARMUP,START,,grasp_ready,,,,,,,,,,,
6,2026-05-14T07:17:11.423,WARMUP,OK,,grasp_ready,,,,,,,,,,,
7,2026-05-14T07:17:11.424,OBSTACLE_MONITOR,INIT,obstacle1,,,,,,,"[0.08, -0.32, 0.8844]",,,,,
8,2026-05-14T07:17:11.424,OBSTACLE_MONITOR,INIT,obstacle2,,,,,,,"[0.36, 0.2, 0.8844]",,,,,
9,2026-05-14T07:17:11.450,TASK_ROUND,START,,separate_groups,,,,,,,,,,,"{""round"": 1, ""candidates"": [""cube3"", ""cube1"", ""cube2"", ""cube4"", ""circle1"", ""circle3"", ""circle2"", ""circle4""]}"
10,2026-05-14T07:17:11.450,PICK,START,cube3,,,,,,,,,,,,
11,2026-05-14T07:17:11.450,PICK_PROFILE,SELECT,cube3,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
12,2026-05-14T07:17:11.612,OBSTACLE_AVOID,CLEAR,cube3,,,,,,,,,,,0.3622,"{""approach_clearance"": 0.3}"
13,2026-05-14T07:17:11.613,MOVE_POSE,START,,pick(cube3) pregrasp,,,,,0.0400,"[-0.0, 0.24, 1.1294]",[],,,,
14,2026-05-14T07:17:11.795,IK_CANDIDATE,OK,,pick(cube3) pregrasp,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01369, ""ori_err"": 0.00471, ""candidate_idx"": 0, ""ref_idx"": 0}"
15,2026-05-14T07:17:11.799,IK_SOLVE,OK,,pick(cube3) pregrasp,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01369, ""ori_err"": 0.00471, ""iterations"": 600}"
16,2026-05-14T07:17:11.800,OMPL_PLAN,START,,pick(cube3) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [0.3694, -0.05, 0.1666, -2.4316, 0.0172, 2.3792, -0.4108]}"
17,2026-05-14T07:17:12.261,OMPL_PLAN,OK,,pick(cube3) pregrasp,,BITstar,62,460,,,,,,,"{""path_length"": 0.9085, ""selected_goal_q"": [0.36936192337289914, -0.04995089822073799, 0.16664001214629404, -2.4315764885970403, 0.01718031391620734, 2.379229250495682, -0.4108150143824353]}"
18,2026-05-14T07:17:12.261,TRAJECTORY_EXEC,START,,,,,62,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
19,2026-05-14T07:17:12.261,TRAJECTORY_WAYPOINT,EXEC,,,,,1/62,,0.0400,,,,,,"{""q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]}"
20,2026-05-14T07:17:12.562,TRAJECTORY_WAYPOINT,EXEC,,,,,16/62,,0.0400,,,,,,"{""q"": [0.0908, 0.381, 0.0409, -2.0854, 0.0041, 2.4453, -0.6674]}"
21,2026-05-14T07:17:12.866,TRAJECTORY_WAYPOINT,EXEC,,,,,31/62,,0.0400,,,,,,"{""q"": [0.1817, 0.2405, 0.0819, -2.1983, 0.0084, 2.4237, -0.5837]}"
22,2026-05-14T07:17:13.167,TRAJECTORY_WAYPOINT,EXEC,,,,,46/62,,0.0400,,,,,,"{""q"": [0.2725, 0.1, 0.1229, -2.3112, 0.0126, 2.4022, -0.5001]}"
23,2026-05-14T07:17:13.492,TRAJECTORY_WAYPOINT,EXEC,,,,,61/62,,0.0400,,,,,,"{""q"": [0.3633, -0.0406, 0.1639, -2.4241, 0.0169, 2.3807, -0.4164]}"
24,2026-05-14T07:17:13.516,TRAJECTORY_WAYPOINT,EXEC,,,,,62/62,,0.0400,,,,,,"{""q"": [0.3694, -0.05, 0.1666, -2.4316, 0.0172, 2.3792, -0.4108]}"
25,2026-05-14T07:17:13.575,TRAJECTORY_EXEC,OK,,,,,62,1314,,,,,,,
26,2026-05-14T07:17:13.591,MOVE_POSE,OK,,pick(cube3) pregrasp,,,,,,,,,,,
27,2026-05-14T07:17:13.591,MOVE_POSE,START,,pick(cube3) grasp,,,,,0.0400,"[-0.0, 0.24, 0.9294]","[""cube3""]",,,,
28,2026-05-14T07:17:13.780,IK_CANDIDATE,OK,,pick(cube3) grasp,,,,,,"[-0.0, 0.24, 0.9294]",,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.01429, ""candidate_idx"": 0, ""ref_idx"": 0}"
29,2026-05-14T07:17:13.781,IK_SOLVE,OK,,pick(cube3) grasp,,,,,,"[-0.0, 0.24, 0.9294]",,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.01429, ""iterations"": 551}"
30,2026-05-14T07:17:13.782,OMPL_PLAN,START,,pick(cube3) grasp,,RRTConnect,,,0.0400,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.3651, -0.0374, 0.1661, -2.4307, 0.0168, 2.3793, -0.4159], ""goal_q"": [0.4601, 0.4105, 0.0632, -2.4567, -0.0631, 2.8536, -0.3884]}"
31,2026-05-14T07:17:14.226,OMPL_PLAN,OK,,pick(cube3) grasp,,BITstar,46,443,,,,,,,"{""path_length"": 0.673, ""selected_goal_q"": [0.4600539111767664, 0.4104875356622757, 0.06315423987113003, -2.4566794268089023, -0.06305431072381046, 2.8536041715182545, -0.38838290115564816]}"
32,2026-05-14T07:17:14.226,TRAJECTORY_EXEC,START,,,,,46,,0.0400,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
33,2026-05-14T07:17:14.226,TRAJECTORY_WAYPOINT,EXEC,,,,,1/46,,0.0400,,,,,,"{""q"": [0.3651, -0.0374, 0.1661, -2.4307, 0.0168, 2.3793, -0.4159]}"
34,2026-05-14T07:17:14.486,TRAJECTORY_WAYPOINT,EXEC,,,,,12/46,,0.0400,,,,,,"{""q"": [0.3883, 0.0721, 0.141, -2.437, -0.0027, 2.4952, -0.4092]}"
35,2026-05-14T07:17:14.709,TRAJECTORY_WAYPOINT,EXEC,,,,,23/46,,0.0400,,,,,,"{""q"": [0.4115, 0.1816, 0.1158, -2.4434, -0.0223, 2.6112, -0.4024]}"
36,2026-05-14T07:17:14.963,TRAJECTORY_WAYPOINT,EXEC,,,,,34/46,,0.0400,,,,,,"{""q"": [0.4347, 0.2911, 0.0906, -2.4498, -0.0418, 2.7271, -0.3957]}"
37,2026-05-14T07:17:15.208,TRAJECTORY_WAYPOINT,EXEC,,,,,45/46,,0.0400,,,,,,"{""q"": [0.4579, 0.4005, 0.0654, -2.4561, -0.0613, 2.8431, -0.389]}"
38,2026-05-14T07:17:15.234,TRAJECTORY_WAYPOINT,EXEC,,,,,46/46,,0.0400,,,,,,"{""q"": [0.4601, 0.4105, 0.0632, -2.4567, -0.0631, 2.8536, -0.3884]}"
39,2026-05-14T07:17:15.296,TRAJECTORY_EXEC,OK,,,,,46,1069,,,,,,,
40,2026-05-14T07:17:15.296,MOVE_POSE,OK,,pick(cube3) grasp,,,,,,,,,,,
41,2026-05-14T07:17:15.296,PICK,GRIP_CLOSE,cube3,close_gripper,,,,,,,,,,,
42,2026-05-14T07:17:15.296,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
43,2026-05-14T07:17:15.000,MOVE_POSE,START,,pick(cube3) lift,,,,,0.0150,"[-0.0, 0.24, 1.1294]","[""cube3""]",,,,
44,2026-05-14T07:17:16.179,IK_CANDIDATE,OK,,pick(cube3) lift,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01016, ""ori_err"": 0.00271, ""candidate_idx"": 0, ""ref_idx"": 0}"
45,2026-05-14T07:17:16.179,IK_SOLVE,OK,,pick(cube3) lift,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01016, ""ori_err"": 0.00271, ""iterations"": 600}"
46,2026-05-14T07:17:16.180,OMPL_PLAN,START,,pick(cube3) lift,,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.46, 0.417, 0.0629, -2.4599, -0.0631, 2.8529, -0.3884], ""goal_q"": [0.4763, -0.0607, 0.0615, -2.4463, 0.0089, 2.3871, -0.4489]}"
47,2026-05-14T07:17:16.639,OMPL_PLAN,OK,,pick(cube3) lift,,BITstar,46,1039,,,,,,,"{""path_length"": 0.6741, ""selected_goal_q"": [0.47632015265028116, -0.06066688962620757, 0.06151775004936901, -2.4463057508459025, 0.008873762127904718, 2.3870683231139225, -0.4488715104049182]}"
48,2026-05-14T07:17:16.639,TRAJECTORY_EXEC,START,,,,,46,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
49,2026-05-14T07:17:16.639,TRAJECTORY_WAYPOINT,EXEC,,,,,1/46,,0.0150,,,,,,"{""q"": [0.46, 0.417, 0.0629, -2.4599, -0.0631, 2.8529, -0.3884]}"
50,2026-05-14T07:17:16.878,TRAJECTORY_WAYPOINT,EXEC,,,,,12/46,,0.0150,,,,,,"{""q"": [0.464, 0.3002, 0.0625, -2.4566, -0.0455, 2.739, -0.4032]}"
51,2026-05-14T07:17:17.181,TRAJECTORY_WAYPOINT,EXEC,,,,,23/46,,0.0150,,,,,,"{""q"": [0.468, 0.1835, 0.0622, -2.4532, -0.0279, 2.6251, -0.418]}"
52,2026-05-14T07:17:17.429,TRAJECTORY_WAYPOINT,EXEC,,,,,34/46,,0.0150,,,,,,"{""q"": [0.472, 0.0667, 0.0619, -2.4499, -0.0103, 2.5113, -0.4327]}"
53,2026-05-14T07:17:17.675,TRAJECTORY_WAYPOINT,EXEC,,,,,45/46,,0.0150,,,,,,"{""q"": [0.476, -0.0501, 0.0615, -2.4466, 0.0073, 2.3974, -0.4475]}"
54,2026-05-14T07:17:17.701,TRAJECTORY_WAYPOINT,EXEC,,,,,46/46,,0.0150,,,,,,"{""q"": [0.4763, -0.0607, 0.0615, -2.4463, 0.0089, 2.3871, -0.4489]}"
55,2026-05-14T07:17:17.767,TRAJECTORY_EXEC,OK,,,,,46,1127,,,,,,,
56,2026-05-14T07:17:17.767,MOVE_POSE,OK,,pick(cube3) lift,,,,,,,,,,,
57,2026-05-14T07:17:17.769,PICK,OK,cube3,,,,,,,,,,,,
58,2026-05-14T07:17:17.769,PLACE,START,cube3,,,,,,,"[0.055, -0.125, 0.83]",,,,,
59,2026-05-14T07:17:17.770,MOVE_POSE,START,,"place(0.055, -0.125) preplace",,,,,0.0150,"[0.055, -0.125, 1.13]","[""cube3""]",,,,
60,2026-05-14T07:17:17.904,IK_CANDIDATE,OK,,"place(0.055, -0.125) preplace",,,,,,"[0.055, -0.125, 1.13]",,,,,"{""pos_err"": 0.00795, ""ori_err"": 0.01457, ""candidate_idx"": 0, ""ref_idx"": 0}"
61,2026-05-14T07:17:17.904,IK_SOLVE,OK,,"place(0.055, -0.125) preplace",,,,,,"[0.055, -0.125, 1.13]",,,,,"{""pos_err"": 0.00795, ""ori_err"": 0.01457, ""iterations"": 484}"
62,2026-05-14T07:17:17.905,OMPL_PLAN,START,,"place(0.055, -0.125) preplace",,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.4761, -0.0476, 0.0616, -2.4505, 0.0078, 2.3927, -0.4477], ""goal_q"": [0.0452, -0.0855, -0.2971, -2.4576, -0.0562, 2.3798, -0.923]}"
63,2026-05-14T07:17:18.337,OMPL_PLAN,OK,,"place(0.055, -0.125) preplace",,BITstar,51,432,,,,,,,"{""path_length"": 0.739, ""selected_goal_q"": [0.04519019179827218, -0.08548843872599036, -0.2970880135773959, -2.4575986108433048, -0.05618316414867413, 2.379799998560464, -0.9230338336196173]}"
64,2026-05-14T07:17:18.337,TRAJECTORY_EXEC,START,,,,,51,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
65,2026-05-14T07:17:18.337,TRAJECTORY_WAYPOINT,EXEC,,,,,1/51,,0.0150,,,,,,"{""q"": [0.4761, -0.0476, 0.0616, -2.4505, 0.0078, 2.3927, -0.4477]}"
66,2026-05-14T07:17:18.601,TRAJECTORY_WAYPOINT,EXEC,,,,,13/51,,0.0150,,,,,,"{""q"": [0.3727, -0.0567, -0.0245, -2.4522, -0.0076, 2.3896, -0.5617]}"
67,2026-05-14T07:17:18.870,TRAJECTORY_WAYPOINT,EXEC,,,,,25/51,,0.0150,,,,,,"{""q"": [0.2692, -0.0658, -0.1105, -2.4539, -0.0229, 2.3865, -0.6758]}"
68,2026-05-14T07:17:19.138,TRAJECTORY_WAYPOINT,EXEC,,,,,37/51,,0.0150,,,,,,"{""q"": [0.1658, -0.0749, -0.1966, -2.4556, -0.0383, 2.3834, -0.7899]}"
69,2026-05-14T07:17:19.407,TRAJECTORY_WAYPOINT,EXEC,,,,,49/51,,0.0150,,,,,,"{""q"": [0.0624, -0.084, -0.2827, -2.4573, -0.0536, 2.3803, -0.904]}"
70,2026-05-14T07:17:19.449,TRAJECTORY_WAYPOINT,EXEC,,,,,51/51,,0.0150,,,,,,"{""q"": [0.0452, -0.0855, -0.2971, -2.4576, -0.0562, 2.3798, -0.923]}"
71,2026-05-14T07:17:19.517,TRAJECTORY_EXEC,OK,,,,,51,1179,,,,,,,
72,2026-05-14T07:17:19.517,MOVE_POSE,OK,,"place(0.055, -0.125) preplace",,,,,,,,,,,
73,2026-05-14T07:17:19.517,MOVE_POSE,START,,"place(0.055, -0.125) release",,,,,0.0150,"[0.055, -0.125, 0.99]","[""cube3""]",,,,
74,2026-05-14T07:17:19.653,IK_CANDIDATE,OK,,"place(0.055, -0.125) release",,,,,,"[0.055, -0.125, 0.99]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.01512, ""candidate_idx"": 0, ""ref_idx"": 0}"
75,2026-05-14T07:17:19.654,IK_SOLVE,OK,,"place(0.055, -0.125) release",,,,,,"[0.055, -0.125, 0.99]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.01512, ""iterations"": 415}"
76,2026-05-14T07:17:19.667,OMPL_PLAN,START,,"place(0.055, -0.125) release",,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.0511, -0.0801, -0.2941, -2.4623, -0.0555, 2.3792, -0.9144], ""goal_q"": [-0.0571, 0.244, -0.1925, -2.4767, 0.0842, 2.7042, -1.0017]}"
77,2026-05-14T07:17:20.113,OMPL_PLAN,OK,,"place(0.055, -0.125) release",,BITstar,35,445,,,,,,,"{""path_length"": 0.51, ""selected_goal_q"": [-0.05705345389928737, 0.24399047206741256, -0.19245903057583713, -2.476731414097539, 0.08420629167797494, 2.704236682229614, -1.0016963333968183]}"
78,2026-05-14T07:17:20.113,TRAJECTORY_EXEC,START,,,,,35,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
79,2026-05-14T07:17:20.114,TRAJECTORY_WAYPOINT,EXEC,,,,,1/35,,0.0150,,,,,,"{""q"": [0.0511, -0.0801, -0.2941, -2.4623, -0.0555, 2.3792, -0.9144]}"
80,2026-05-14T07:17:20.293,TRAJECTORY_WAYPOINT,EXEC,,,,,9/35,,0.0150,,,,,,"{""q"": [0.0256, -0.0039, -0.2702, -2.4657, -0.0226, 2.4557, -0.9349]}"
81,2026-05-14T07:17:20.477,TRAJECTORY_WAYPOINT,EXEC,,,,,17/35,,0.0150,,,,,,"{""q"": [0.0002, 0.0724, -0.2462, -2.4691, 0.0103, 2.5321, -0.9555]}"
82,2026-05-14T07:17:20.653,TRAJECTORY_WAYPOINT,EXEC,,,,,25/35,,0.0150,,,,,,"{""q"": [-0.0252, 0.1487, -0.2223, -2.4725, 0.0431, 2.6086, -0.976]}"
83,2026-05-14T07:17:20.834,TRAJECTORY_WAYPOINT,EXEC,,,,,33/35,,0.0150,,,,,,"{""q"": [-0.0507, 0.2249, -0.1984, -2.4759, 0.076, 2.6851, -0.9966]}"
84,2026-05-14T07:17:20.879,TRAJECTORY_WAYPOINT,EXEC,,,,,35/35,,0.0150,,,,,,"{""q"": [-0.0571, 0.244, -0.1925, -2.4767, 0.0842, 2.7042, -1.0017]}"
85,2026-05-14T07:17:20.940,TRAJECTORY_EXEC,OK,,,,,35,826,,,,,,,
86,2026-05-14T07:17:20.940,MOVE_POSE,OK,,"place(0.055, -0.125) release",,,,,,,,,,,
87,2026-05-14T07:17:20.940,PLACE,SETTLE_BEFORE_OPEN,cube3,,,,,,,,,,,,"{""steps"": 120}"
88,2026-05-14T07:17:21.185,PLACE,GRIP_OPEN,cube3,,,,,,,,,,,,"{""finger_before"": 0.0294}"
89,2026-05-14T07:17:21.185,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 450}"
90,2026-05-14T07:17:22.089,PLACE,GRIP_OPENED,cube3,,,,,,,,,,,,"{""finger_after"": 0.04}"
91,2026-05-14T07:17:22.401,MOVE_POSE,START,,"place(0.055, -0.125) retreat",,,,,0.0400,"[0.055, -0.125, 1.19]","[""cube3""]",,,,
92,2026-05-14T07:17:22.554,IK_CANDIDATE,OK,,"place(0.055, -0.125) retreat",,,,,,"[0.055, -0.125, 1.19]",,,,,"{""pos_err"": 0.00947, ""ori_err"": 0.00393, ""candidate_idx"": 0, ""ref_idx"": 0}"
93,2026-05-14T07:17:22.555,IK_SOLVE,OK,,"place(0.055, -0.125) retreat",,,,,,"[0.055, -0.125, 1.19]",,,,,"{""pos_err"": 0.00947, ""ori_err"": 0.00393, ""iterations"": 600}"
94,2026-05-14T07:17:22.555,OMPL_PLAN,START,,"place(0.055, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.0571, 0.25, -0.1922, -2.4806, 0.0841, 2.7035, -1.0017], ""goal_q"": [-0.1213, -0.1482, -0.1427, -2.3661, -0.0276, 2.223, -0.93]}"
95,2026-05-14T07:17:23.018,OMPL_PLAN,OK,,"place(0.055, -0.125) retreat",,BITstar,45,461,,,,,,,"{""path_length"": 0.6532, ""selected_goal_q"": [-0.12126049062691668, -0.14816107287022273, -0.14270847300515743, -2.3661028621246976, -0.02764651381568934, 2.223020712973725, -0.9300209235182594]}"
96,2026-05-14T07:17:23.018,TRAJECTORY_EXEC,START,,,,,45,,0.0400,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
97,2026-05-14T07:17:23.018,TRAJECTORY_WAYPOINT,EXEC,,,,,1/45,,0.0400,,,,,,"{""q"": [-0.0571, 0.25, -0.1922, -2.4806, 0.0841, 2.7035, -1.0017]}"
98,2026-05-14T07:17:23.230,TRAJECTORY_WAYPOINT,EXEC,,,,,12/45,,0.0400,,,,,,"{""q"": [-0.0731, 0.1505, -0.1798, -2.452, 0.0562, 2.5834, -0.9838]}"
99,2026-05-14T07:17:23.451,TRAJECTORY_WAYPOINT,EXEC,,,,,23/45,,0.0400,,,,,,"{""q"": [-0.0892, 0.0509, -0.1675, -2.4233, 0.0282, 2.4633, -0.9659]}"
100,2026-05-14T07:17:23.690,TRAJECTORY_WAYPOINT,EXEC,,,,,34/45,,0.0400,,,,,,"{""q"": [-0.1052, -0.0486, -0.1551, -2.3947, 0.0003, 2.3431, -0.9479]}"
101,2026-05-14T07:17:23.934,TRAJECTORY_WAYPOINT,EXEC,,,,,45/45,,0.0400,,,,,,"{""q"": [-0.1213, -0.1482, -0.1427, -2.3661, -0.0276, 2.223, -0.93]}"
102,2026-05-14T07:17:23.994,TRAJECTORY_EXEC,OK,,,,,45,976,,,,,,,
103,2026-05-14T07:17:23.994,MOVE_POSE,OK,,"place(0.055, -0.125) retreat",,,,,,,,,,,
104,2026-05-14T07:17:23.994,PLACE,OK,cube3,,,,,,,"[0.055, -0.125, 0.83]",,,,,
105,2026-05-14T07:17:24.963,PICK,START,cube1,,,,,,,,,,,,
106,2026-05-14T07:17:24.963,PICK_PROFILE,SELECT,cube1,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
107,2026-05-14T07:17:25.130,OBSTACLE_AVOID,CLEAR,cube1,,,,,,,,,,,0.2474,"{""approach_clearance"": 0.3}"
108,2026-05-14T07:17:25.130,MOVE_POSE,START,,pick(cube1) pregrasp,,,,,0.0400,"[0.02, -0.56, 1.1294]",[],,,,
109,2026-05-14T07:17:25.282,IK_CANDIDATE,OK,,pick(cube1) pregrasp,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.02906, ""ori_err"": 0.01821, ""candidate_idx"": 0, ""ref_idx"": 0}"
110,2026-05-14T07:17:25.283,IK_SOLVE,OK,,pick(cube1) pregrasp,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.02906, ""ori_err"": 0.01821, ""iterations"": 600}"
111,2026-05-14T07:17:25.283,OMPL_PLAN,START,,pick(cube1) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.1213, -0.1434, -0.1428, -2.3714, -0.0278, 2.2223, -0.93], ""goal_q"": [-0.6681, 0.4887, -0.2956, -1.6894, 0.1591, 2.1713, -1.3175]}"
112,2026-05-14T07:17:25.717,OMPL_PLAN,OK,,pick(cube1) pregrasp,,BITstar,80,433,,,,,,,"{""path_length"": 1.1725, ""selected_goal_q"": [-0.6680951827139658, 0.4887150219993887, -0.2956191715731654, -1.6894399852477473, 0.15906325780929534, 2.1713322501147228, -1.3175076561076844]}"
113,2026-05-14T07:17:25.717,TRAJECTORY_EXEC,START,,,,,80,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
114,2026-05-14T07:17:25.717,TRAJECTORY_WAYPOINT,EXEC,,,,,1/80,,0.0400,,,,,,"{""q"": [-0.1213, -0.1434, -0.1428, -2.3714, -0.0278, 2.2223, -0.93]}"
115,2026-05-14T07:17:26.145,TRAJECTORY_WAYPOINT,EXEC,,,,,21/80,,0.0400,,,,,,"{""q"": [-0.2597, 0.0166, -0.1815, -2.1988, 0.0195, 2.2094, -1.0281]}"
116,2026-05-14T07:17:26.550,TRAJECTORY_WAYPOINT,EXEC,,,,,41/80,,0.0400,,,,,,"{""q"": [-0.3981, 0.1766, -0.2202, -2.0261, 0.0668, 2.1965, -1.1262]}"
117,2026-05-14T07:17:26.946,TRAJECTORY_WAYPOINT,EXEC,,,,,61/80,,0.0400,,,,,,"{""q"": [-0.5366, 0.3367, -0.2589, -1.8535, 0.1141, 2.1836, -1.2243]}"
118,2026-05-14T07:17:27.326,TRAJECTORY_WAYPOINT,EXEC,,,,,80/80,,0.0400,,,,,,"{""q"": [-0.6681, 0.4887, -0.2956, -1.6894, 0.1591, 2.1713, -1.3175]}"
119,2026-05-14T07:17:27.389,TRAJECTORY_EXEC,OK,,,,,80,1672,,,,,,,
120,2026-05-14T07:17:27.389,MOVE_POSE,OK,,pick(cube1) pregrasp,,,,,,,,,,,
121,2026-05-14T07:17:27.389,MOVE_POSE,START,,pick(cube1) grasp,,,,,0.0400,"[0.02, -0.56, 0.9294]","[""cube1""]",,,,
122,2026-05-14T07:17:27.574,IK_CANDIDATE,OK,,pick(cube1) grasp,,,,,,"[0.02, -0.56, 0.9294]",,,,,"{""pos_err"": 0.01007, ""ori_err"": 0.00421, ""candidate_idx"": 0, ""ref_idx"": 0}"
123,2026-05-14T07:17:27.575,IK_SOLVE,OK,,pick(cube1) grasp,,,,,,"[0.02, -0.56, 0.9294]",,,,,"{""pos_err"": 0.01007, ""ori_err"": 0.00421, ""iterations"": 600}"
124,2026-05-14T07:17:27.575,OMPL_PLAN,START,,pick(cube1) grasp,,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.6635, 0.4908, -0.2948, -1.7018, 0.1575, 2.171, -1.313], ""goal_q"": [-0.8289, 0.8535, -0.1101, -1.591, 0.1246, 2.4409, -1.2587]}"
125,2026-05-14T07:17:28.029,OMPL_PLAN,OK,,pick(cube1) grasp,,BITstar,37,453,,,,,,,"{""path_length"": 0.5312, ""selected_goal_q"": [-0.8288938008009361, 0.8534765989942057, -0.11005751203141616, -1.590982039979349, 0.1245541472639013, 2.440876875995059, -1.258688686156166]}"
126,2026-05-14T07:17:28.051,TRAJECTORY_EXEC,START,,,,,37,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
127,2026-05-14T07:17:28.051,TRAJECTORY_WAYPOINT,EXEC,,,,,1/37,,0.0400,,,,,,"{""q"": [-0.6635, 0.4908, -0.2948, -1.7018, 0.1575, 2.171, -1.313]}"
128,2026-05-14T07:17:28.287,TRAJECTORY_WAYPOINT,EXEC,,,,,10/37,,0.0400,,,,,,"{""q"": [-0.7048, 0.5815, -0.2486, -1.6741, 0.1492, 2.2385, -1.2995]}"
129,2026-05-14T07:17:28.520,TRAJECTORY_WAYPOINT,EXEC,,,,,19/37,,0.0400,,,,,,"{""q"": [-0.7462, 0.6722, -0.2024, -1.6464, 0.141, 2.306, -1.2859]}"
130,2026-05-14T07:17:28.707,TRAJECTORY_WAYPOINT,EXEC,,,,,28/37,,0.0400,,,,,,"{""q"": [-0.7875, 0.7628, -0.1562, -1.6187, 0.1328, 2.3734, -1.2723]}"
131,2026-05-14T07:17:28.888,TRAJECTORY_WAYPOINT,EXEC,,,,,37/37,,0.0400,,,,,,"{""q"": [-0.8289, 0.8535, -0.1101, -1.591, 0.1246, 2.4409, -1.2587]}"
132,2026-05-14T07:17:28.955,TRAJECTORY_EXEC,OK,,,,,37,903,,,,,,,
133,2026-05-14T07:17:28.955,MOVE_POSE,OK,,pick(cube1) grasp,,,,,,,,,,,
134,2026-05-14T07:17:28.955,PICK,GRIP_CLOSE,cube1,close_gripper,,,,,,,,,,,
135,2026-05-14T07:17:28.955,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
136,2026-05-14T07:17:29.621,MOVE_POSE,START,,pick(cube1) lift,,,,,0.0150,"[0.02, -0.56, 1.1294]","[""cube1""]",,,,
137,2026-05-14T07:17:29.792,IK_CANDIDATE,OK,,pick(cube1) lift,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.00825, ""ori_err"": 0.00865, ""candidate_idx"": 0, ""ref_idx"": 0}"
138,2026-05-14T07:17:29.793,IK_SOLVE,OK,,pick(cube1) lift,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.00825, ""ori_err"": 0.00865, ""iterations"": 600}"
139,2026-05-14T07:17:29.794,OMPL_PLAN,START,,pick(cube1) lift,,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.8288, 0.8631, -0.1095, -1.5957, 0.1244, 2.4401, -1.2587], ""goal_q"": [-0.8673, 0.5393, -0.0702, -1.5802, 0.04, 2.1265, -1.1861]}"
